feature_name,source_dataset,source_file,source_column,data_type,time_granularity,cow_identifier,date_identifier,transformation_required,leakage_risk,notes
anchor_id,T10,sensor_data\sub_data\uwb_distance\T10\T10_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T10,sensor_data\sub_data\uwb_distance\T10\T10_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T10,sensor_data\sub_data\uwb_distance\T10\T10_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T10,sensor_data\sub_data\uwb_distance\T10\T10_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T10,sensor_data\sub_data\uwb_distance\T10\T10_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T13,sensor_data\sub_data\uwb_distance\T13\T13_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T13,sensor_data\sub_data\uwb_distance\T13\T13_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T13,sensor_data\sub_data\uwb_distance\T13\T13_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T13,sensor_data\sub_data\uwb_distance\T13\T13_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T13,sensor_data\sub_data\uwb_distance\T13\T13_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T14,sensor_data\sub_data\uwb_distance\T14\T14_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T14,sensor_data\sub_data\uwb_distance\T14\T14_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T14,sensor_data\sub_data\uwb_distance\T14\T14_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T14,sensor_data\sub_data\uwb_distance\T14\T14_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T14,sensor_data\sub_data\uwb_distance\T14\T14_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C01,sensor_data\sub_data\visual_location\C01\C01_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C01,sensor_data\sub_data\visual_location\C01\C01_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C01,sensor_data\sub_data\visual_location\C01\C01_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C02,sensor_data\sub_data\visual_location\C02\C02_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C02,sensor_data\sub_data\visual_location\C02\C02_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C02,sensor_data\sub_data\visual_location\C02\C02_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C03,sensor_data\sub_data\visual_location\C03\C03_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C03,sensor_data\sub_data\visual_location\C03\C03_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C03,sensor_data\sub_data\visual_location\C03\C03_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C04,sensor_data\sub_data\visual_location\C04\C04_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C04,sensor_data\sub_data\visual_location\C04\C04_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C04,sensor_data\sub_data\visual_location\C04\C04_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C05,sensor_data\sub_data\visual_location\C05\C05_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C05,sensor_data\sub_data\visual_location\C05\C05_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C05,sensor_data\sub_data\visual_location\C05\C05_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C06,sensor_data\sub_data\visual_location\C06\C06_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C06,sensor_data\sub_data\visual_location\C06\C06_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C06,sensor_data\sub_data\visual_location\C06\C06_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C07,sensor_data\sub_data\visual_location\C07\C07_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C07,sensor_data\sub_data\visual_location\C07\C07_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C07,sensor_data\sub_data\visual_location\C07\C07_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C08,sensor_data\sub_data\visual_location\C08\C08_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C08,sensor_data\sub_data\visual_location\C08\C08_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C08,sensor_data\sub_data\visual_location\C08\C08_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C09,sensor_data\sub_data\visual_location\C09\C09_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C09,sensor_data\sub_data\visual_location\C09\C09_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C09,sensor_data\sub_data\visual_location\C09\C09_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C10,sensor_data\sub_data\visual_location\C10\C10_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C10,sensor_data\sub_data\visual_location\C10\C10_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C10,sensor_data\sub_data\visual_location\C10\C10_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C11,sensor_data\sub_data\visual_location\C11\C11_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C11,sensor_data\sub_data\visual_location\C11\C11_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C11,sensor_data\sub_data\visual_location\C11\C11_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C12,sensor_data\sub_data\visual_location\C12\C12_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C12,sensor_data\sub_data\visual_location\C12\C12_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C12,sensor_data\sub_data\visual_location\C12\C12_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C13,sensor_data\sub_data\visual_location\C13\C13_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C13,sensor_data\sub_data\visual_location\C13\C13_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C13,sensor_data\sub_data\visual_location\C13\C13_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C14,sensor_data\sub_data\visual_location\C14\C14_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C14,sensor_data\sub_data\visual_location\C14\C14_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C14,sensor_data\sub_data\visual_location\C14\C14_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C15,sensor_data\sub_data\visual_location\C15\C15_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C15,sensor_data\sub_data\visual_location\C15\C15_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C15,sensor_data\sub_data\visual_location\C15\C15_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_x_cm,C16,sensor_data\sub_data\visual_location\C16\C16_0725.csv,loc_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_y_cm,C16,sensor_data\sub_data\visual_location\C16\C16_0725.csv,loc_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
loc_z_cm,C16,sensor_data\sub_data\visual_location\C16\C16_0725.csv,loc_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
